year,make,model,trim,days_to_sell
2012,Nissan,Tiida,S,106
2012,Nissan,Tiida,S,107
2012,Nissan,Tiida,S,110
2012,Nissan,Tiida,S,111
2012,Nissan,Tiida,S,113
2012,Nissan,Tiida,S,115
2012,Nissan,Tiida,S,117
2012,Nissan,Tiida,S,128
2012,Nissan,Tiida,S,142
2012,Nissan,Tiida,S,143
2012,Nissan,Tiida,S,146
2012,Nissan,Tiida,S,152
2012,Nissan,Tiida,SL,10
2012,Nissan,Tiida,SL,13
2012,Nissan,Tiida,SL,45
2012,Nissan,Tiida,SL,58
2012,Nissan,Tiida,SL,59
2012,Nissan,Tiida,SL,64
2012,Nissan,Tiida,SL,84
2012,Nissan,Tiida,SL,95
2012,Nissan,Tiida,SL,102
2012,Nissan,Tiida,SL,114
2012,Nissan,Tiida,SL,125
2012,Nissan,Tiida,SL,154
2012,Nissan,Xterra,S,22
2012,Nissan,Xterra,S,29
2012,Nissan,Xterra,S,55
2012,Nissan,Xterra,S,57
2012,Nissan,Xterra,S,95
2012,Nissan,Xterra,S,100
2012,Nissan,Xterra,S,109
2012,Nissan,Xterra,S,110
2012,Nissan,Xterra,S,113
2012,Nissan,Xterra,S,114
2012,Nissan,Xterra,S,115
2012,Nissan,Xterra,SE,104
2012,Peugeot,207,Base,70
2012,Peugeot,207,Base,108
2012,Peugeot,508,Std,30
2012,Porsche,911,Carrera,8
2012,Porsche,911,Carrera,9
2012,Porsche,911,Carrera,33
2012,Porsche,911,Carrera,48
2012,Porsche,911,Carrera,66
2012,Porsche,911,"Carrera S",48
2012,Porsche,911,"Carrera S",81
2012,Porsche,911,"Carrera S",83
2012,Porsche,Boxster,Std,28
2012,Porsche,Boxster,Std,90
2012,Porsche,Cayenne,S,9
2012,Porsche,Cayenne,S,12
2012,Porsche,Cayenne,S,15
2012,Porsche,Cayenne,S,16
2012,Porsche,Cayenne,S,17
2012,Porsche,Cayenne,S,22
2012,Porsche,Cayenne,S,28
2012,Porsche,Cayenne,S,30
2012,Porsche,Cayenne,S,31
2012,Porsche,Cayenne,S,42
2012,Porsche,Cayenne,S,47
2012,Porsche,Cayenne,S,50
2012,Porsche,Cayenne,S,54
2012,Porsche,Cayenne,S,58
2012,Porsche,Cayenne,S,67
2012,Porsche,Cayenne,S,72
2012,Porsche,Cayenne,S,80
2012,Porsche,Cayenne,S,90
2012,Porsche,Cayenne,S,110
2012,Porsche,Cayenne,Std,47
2012,Porsche,Cayenne,Std,124
2012,Porsche,Cayenne,Std,131
2012,Porsche,Cayenne,Turbo,8
2012,Porsche,Cayenne,Turbo,14
2012,Porsche,Cayenne,Turbo,25
2012,Porsche,Panamera,4,19
2012,Porsche,Panamera,4,20
2012,Porsche,Panamera,4,21
2012,Porsche,Panamera,4,32
2012,Porsche,Panamera,4S,17
2012,Porsche,Panamera,4S,21
2012,Porsche,Panamera,4S,90
2012,Porsche,Panamera,4S,117
2012,Porsche,Panamera,4S,136
2012,Porsche,Panamera,S,13
2012,Porsche,Panamera,S,14
2012,Porsche,Panamera,S,17
2012,Porsche,Panamera,S,18
2012,Porsche,Panamera,S,24
2012,Porsche,Panamera,S,26
2012,Porsche,Panamera,S,36
2012,Porsche,Panamera,S,42
2012,Porsche,Panamera,S,90
2012,Porsche,Panamera,Std,21
2012,"Rolls Royce",Ghost,Std,83
2012,Toyota,Aurion,Grande,95
2012,Toyota,Aurion,Grande,103
2012,Toyota,Aurion,Sport,13
2012,Toyota,Aurion,Sport,58
2012,Toyota,Aurion,Sport,96
2012,Toyota,Aurion,Sport,102
2012,Toyota,Aurion,Sport,111
